9.999999999999999547e-08 2.854260180701511107e-01 2.900455030380517120e+17 6.962679999999999980e-01 5.990806167988312926e-04 5.023735477687757440e+17 6.971361336209735970e-02
1.291549665014882683e-06 2.866111105550229743e-01 2.689534788543504000e+17 7.289359999999999173e-01 5.366529422496095925e-04 4.658410902481356800e+17 5.698964902506419711e-02
1.668100537200059254e-05 2.875529339323615319e-01 2.788525418044812800e+17 7.013199999999999434e-01 5.893009415625195336e-04 4.829867702250851840e+17 7.697626896648084027e-02
2.154434690031884489e-04 2.905168385670725550e-01 2.793705754286065280e+17 7.366279999999999495e-01 4.588578009989255141e-04 4.838840307820992000e+17 6.067961595132254776e-02
2.782559402207125665e-03 2.934152105574435732e-01 9.076153919372820800e+16 7.844640000000000502e-01 5.997679499067593359e-04 1.572035972566907520e+17 9.444690360197096485e-03
3.593813663804625719e-02 3.107451488272078843e-01 1.942387518965753600e+16 7.879839999999999067e-01 1.924742023038665539e-02 3.364313870836222400e+16 5.526546842287673005e-03
4.641588833612781961e-01 3.268320476421492371e-01 2.503506176098820400e+16 7.598880000000001189e-01 4.776224578380418675e-04 4.336199894065628000e+16 1.755521574917282088e-03
5.994842503189421024e+00 3.623425125176722994e-01 2.161833240503891200e+16 7.311400000000000121e-01 6.217619056774243043e-04 3.744405010043997600e+16 1.687767756535231986e-03
7.742636826811278183e+01 3.877665614051339915e-01 3.855986720014743750e+14 7.097080000000000055e-01 1.262250193203523572e-04 6.678764912371940000e+14 2.126025399660126745e-03
1.000000000000000000e+03 4.029926394453692273e-01 5.298314318665367000e+15 6.977440000000001419e-01 2.111658585555112192e-04 9.176949594398028000e+15 1.611200794438736282e-03
